seller-sku	asin1	price	quantity
10007_DE	B06XYSGG6R	25	4
10021_DE	B01N8XWMAU	25	318
10027_DE	B071S8B219	25	8
10030_DE	B072358F51	25	3
10034_DE	B0728BWPFB	25	10
10043_DE	B072TCQKJ9	25	744
10050_DE	B06XYSYZBJ	141.35	4
10061_DE	B073QTNK1R	25	44
10070_DE	B071YBHJMQ	25	84
10071_DE	B074SZKJ8R	25	100
10073_DE	B074TM3BHP	25	22
10076_DE	B0752T5Q2G	25	10
10078_DE	B0752V7WVW	25	15
10082_DE	B075GLYW78	25	148
10084_DE	B075K3VT77	25	69
1008_DE	B07HBBCFDR	25	12
10097_DE	B075QC2RHD	25	13
1009_DE	B07HBRGW3L	25	1547
100_DE	B000UW3FGE	25	8
10101_DE	B076DD53H5	25	10
10118_DE	B074QV3CN9	25.13	11
1011_DE	B07J149FWW	25	17
10150_DE	B076HF1B83	82.08	6
1015_DE	B07JNQQQ12	25	116
10164_DE	B077G7XMD9	25.28	75
1016_DE	B07JPJK9TL	25	100
10175_DE	B0785NKWJK	42.57	1
10178_DE	B07B658BLB	25	10
1017_DE	B07JQFSVRN	25	100
10180_DE	B07BB3PFDT	25	3
10187_DE	B07C75VB8N	25	117
10188_DE	B07C79LY1Z	25	51
1018_DE	B07JZSJ3SN	25	20
10191_DE	B07C7DPMLJ	25	42
10193_DE	B07CG9KHM1	25	45
10194_DE	B07CGP4Q9M	25	105
1019_DE	B07K1B436X	25	100
101_DE	B000UW5968	25	6
10204_DE	B0795WZQ9Y	221.61	2
10207_DE	B079DR9BGM	39.75	162
10209_DE	B079K2QTKB	25	5
1020_DE	B07K1DPFTX	25	20
10211_DE	B079NRS6MF	25	204
10216_DE	B079V91JY7	52.35	16
1021_DE	B07K2MQW4T	82.97	2
10224_DE	B07DHF221M	25	60
1022_DE	B07K5D4BDG	25	100
10230_DE	B07BJT6DPK	216.08	2
1023_DE	B07K5VLL25	25	100
10245_DE	B07CK6J4YP	25	35
1024_DE	B07K5WDMFS	25	100
10256_DE	B07H3Q8VF9	32.7	584
10257_DE	B07H4RDRT4	25	8
10272_DE	B07DP1FQ19	25	10
10277_DE	B07JP7WCQC	25	100
10280_DE	B07JPCPJZF	25	100
10286_DE	B07JPJX4GF	25	100
10290_DE	B07JQ3VF3Q	25	100
10292_DE	B07JQ9TJWX	25	100
10293_DE	B07JWKCN94	45.62	20
10297_DE	B07K5FHTQH	25	100
10299_DE	B07FNHPV27	42.31	3
1029_DE	B07KG7TDFT	25	14
102_DE	B000UW5MLK	25	7
10301_DE	B07G4FYFDH	25	44
10305_DE	B07GBDZNL2	247.05	6
10306_DE	B07KFWCPJR	25	715
10310_DE	B07KFY2KR7	25	422
10315_DE	B07KRQ344V	25	100
10319_DE	B07HXR4PBZ	29.51	23
10325_DE	B07MZG5VBC	25	179
10326_DE	B07MZGHMYP	25	77
10328_DE	B07MZH6ZKS	25	22
10331_DE	B07NQXQNMC	25	18
1034_DE	B07KSMR4KY	25	8
10358_DE	B07KRNNSX8	29.87	100
10359_DE	B07KRP4B4N	25	100
1035_DE	B07KSX84VQ	38.22	9
10360_DE	B07KRP6LZ2	205.01	100
10361_DE	B07KRPFMNS	45.64	20
10364_DE	B07KRQMZP6	82.5	7
10365_DE	B07KVPS9ZR	25	100
10369_DE	B07L8FBKBT	118.07	6
10371_DE	B07LDNT3CV	60.95	8
10372_DE	B07PQRXW6K	25	128
10373_DE	B07PQRXY9L	25	201
10374_DE	B07PVDGFXT	30.88	17
10376_DE	B07PWYL2J7	25	100
10378_DE	B07PWYLCHY	25	20
1037_DE	B07KWLBBLJ	25	28
10380_DE	B07PY56CZ4	25	100
10384_DE	B07PY56CZ5	25	100
10386_DE	B07PZ8VVQD	25	100
10387_DE	B07PZ8VYF5	25	100
10388_DE	B07Q1DM866	25	100
10389_DE	B07Q1DQB3L	25	100
1038_DE	B07KXQRLJJ	25	30
10390_DE	B07Q1DQGZP	25	100
10392_DE	B07NY7S1K5	37.15	141
10394_DE	B07NY9BW22	29.55	691
10395_DE	B07NY9GW97	86.94	71
10396_DE	B07Q24MLP1	25	100
10397_DE	B07Q261CJ8	25	100
1039_DE	B07L13C7RH	25	576
103_DE	B000UW8BN6	25	7
10405_DE	B07NZ5TL96	25	458
10406_DE	B07NZ6VQSW	36.03	225
10408_DE	B07NZ7GHJX	69.79	263
10411_DE	B07P19GKXS	67.4	246
10412_DE	B07P1H5MD4	51.65	100
10413_DE	B07P4N3RLS	89.67	157
10414_DE	B07R6JJTVC	25	36
10415_DE	B07R7MG81C	25	9
10416_DE	B07PF1YC83	307.73	7
10417_DE	B07R7RN1W1	25	17
10418_DE	B07R8WL333	25	14
10419_DE	B07R8WL8GZ	25	2
10420_DE	B07R9XDW78	25	10
10421_DE	B07RB2NH62	25	2
10422_DE	B07RB7HFYT	25	10
10423_DE	B07RB7LVW7	25	12
10424_DE	B07RBBYKNF	25	34
10425_DE	B07RBBYMSS	25	15
10426_DE	B07RC8587W	25	9
10427_DE	B07RC8CK4K	25	3
10428_DE	B07RC8CK4W	25	8
10429_DE	B07PXBN4CH	130.71	11
10431_DE	B07RCCGH47	25	4
10432_DE	B07RCCGH48	25	9
10433_DE	B07PY7PLQL	180.23	29
10434_DE	B07RCCJ39R	25	3
10435_DE	B07RCP7WNC	25	9
10450_DE	B07TDGJJDK	36.16	32
10452_DE	B07R4GBP2P	25	41
10453_DE	B07R4KHBPD	25	10
10454_DE	B07R4PRV6S	25	230
10457_DE	B07R5GK2V6	28.88	4
10458_DE	B07R5KPY79	25	8
10459_DE	B07R5KQ71C	25	239
10460_DE	B07R5Q25RZ	25.49	19
10461_DE	B07R5Q295B	27.08	5
10462_DE	B07R6FDHCH	25	11
10463_DE	B07R6FDV4S	25	19
10469_DE	B07R6XY337	25	1
10470_DE	B07R7J84GN	25	4
10471_DE	B07R7MCNRK	25	5
10472_DE	B07R7MDCH4	28.28	13
10473_DE	B07R7MFC56	25	524
10475_DE	B07R7MFF9B	26.78	2
10476_DE	B07R7MFKPT	25	22
10477_DE	B07R7MFPSF	25	18
10479_DE	B07R7RN1VG	25	10
10480_DE	B07R7RN1VT	25	71
10482_DE	B07R7RNCQ4	25	21
10483_DE	B07R7XH698	25	51
10485_DE	B07R81NCHM	25	77
10486_DE	B07R81NDS8	25	51
